cod_tab_preco,nom_tab_preco,ind_ajuste,perc_ajuste,ind_tab_padrao,perc_urgencia,cod_unid_oper,cod_unid_negoc,ind_situacao,cod_tab_desc_progres,ind_aceita_bonus,ind_plano_saude,cod_produto,dat_vigencia,vlr_produto,vlr_prod_urg,vlr_cus_prod,vlr_cus_medio,perc_mrg_lucro,vlr_desc_comis,vlr_desc_apoio,vlr_prod_complementar,vlr_ultima_compra
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,1942,2021-02-03,50.0,50.0,11.0,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11810,2021-02-03,300.0,300.0,162.5,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11530,2021-02-03,1440.0,1440.0,1000.0,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11437,2021-02-03,1800.0,1800.0,700.0,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11430,2021-02-03,34.0,34.0,14.32,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11928,2021-02-03,72.0,72.0,25.0,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11433,2021-02-03,0.0,0.0,0.0,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11931,2021-02-03,0.0,0.0,0.0,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,3969,2021-02-03,72.0,72.0,50.0,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11933,2021-02-03,84.0,84.0,45.5,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11936,2021-02-03,94.0,94.0,49.75,,,0.0,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11927,2021-02-03,72.0,72.0,39.0,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11937,2021-02-03,156.0,156.0,85.5,,,0.0,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11939,2021-02-03,72.0,72.0,39.0,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11940,2021-02-03,36.0,36.0,19.5,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,10005,2021-02-03,96.0,96.0,41.23,,,,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11588,2021-02-03,0.6,0.6,0.6,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11587,2021-02-03,0.79,0.79,0.79,,,0.0,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11942,2021-02-03,96.0,96.0,30.0,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11943,2021-02-03,120.0,120.0,65.0,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11945,2021-02-03,3840.0,3840.0,2600.0,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11949,2021-02-03,360.0,360.0,170.0,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11950,2021-02-03,43.0,43.0,23.4,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,4007,2021-02-03,449.0,449.0,280.0,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,2931,2021-02-03,34.0,34.0,1.47,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11169,2021-02-03,42.0,42.0,14.442,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11951,2021-02-03,42.0,42.0,22.0,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11158,2021-02-03,96.0,96.0,60.0,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11959,2021-02-03,180.0,180.0,97.5,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11960,2021-02-03,378.0,378.0,204.75,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11961,2021-02-03,648.0,648.0,351.0,,,,,,
