cod_especie,nom_especie,nom_popular,nom_familia,cod_especie_imp,num_hematocrito_esp,nom_ingles,ind_especie,cod_raca,nom_raca,ind_ani_silvestre,ind_porte,cod_pelagem,tip_pelagem
16,AVE,AVE,,,,BIRD,OU,287,TRINCA FERRO,S,,,
32,E. europaeus,OURIÇO,OURIÇO,,,OURIÇO,OU,413,TTTT,S,P,,M
1,CANINA,CANINA,CANINA,,,CANINE,OU,413,TTTT,S,P,,M
28,TUCANO,TUCANO,Ramphastidae,,,BIRD,OU,404,TUCANO,S,P,418.0,C
1,CANINA,CANINA,CANINA,,,CANINE,OU,404,TUCANO,S,P,418.0,C
1,CANINA,CANINA,CANINA,,,CANINE,OU,151,VIZSLA,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,75,WEIMARANER,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,190,WELSH CORGI PEMBROKE,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,208,WELSH TERRIER,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,47,WEST HIGHLAND WHITE TERRIER,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,80,WHIPPET,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,44,YORKSHIRE TERRIER,N,,,
