cod_unid_oper,cod_clinica,cod_veterinario,cod_proprietario,cod_animal,nom_animal,cod_especie,nom_especie,cod_raca,nom_raca,cod_pelagem,pel,desc_pelagem,ind_ani_silvestre,dth_aniversario,ind_sexo,nro_micro_chip,nro_rg_animal,id_tatuagem,peso_animal,ind_porte,ind_pedigree,ind_castrado,ind_alergico,ind_ctrl_vacina,cod_antigo,nro_registro,ind_obito,dth_obito,ind_doacao,tip_pelagem,cod_anim_solic,ind_doenca_cronica,txt_alergia,txt_doenca_cronica,obs_animal,usr_codigo,ind_excluido,dth_exclusao,dth_cadastro,dat_ult_visita
1,2,10652,13414.0,21996,AARON,1,CANINA,24,PASTOR ALEMAO,439.0,"(439,""PRETA E CANELA"")",PRETA E CANELA,N,2018-01-17,M,,,,35.0,G,,N,,,,,N,,N, ,,,,,,,,,2021-12-10,2021-12-10
1,2,7,5260.0,12860,ABBY,1,CANINA,2,SRD CANINO,439.0,"(439,""PRETA E CANELA"")",PRETA E CANELA,N,2012-07-24,F,,,,8.2,M,,N,,,,,N,,N, ,,,,,,,,,2012-12-17,
1,2,8,11777.0,19525,ABEL,1,CANINA,42,LHASA APSO,176.0,"(176,BRANCO)",BRANCO,N,2016-03-09,M,,,,7.2,,,N,,,,,N,,N,C,,,,,,,,,2019-03-09,
1,2,9344,8415.0,17873,ABEL,2,FELINA,3,SRD FELINO,21.0,"(21,AMARELO)",AMARELO,N,2013-06-01,M,,,,4.0,P,,S,,,,,N,,N, ,,,,,,,,,2017-06-01,
1,2,7,9439.0,15556,ABEL,2,FELINA,3,SRD FELINO,485.0,"(485,PRETO)",PRETO,N,2015-03-03,M,,,,0.8,P,,N,,,,,N,,N, ,,,,,,,,,2015-04-18,
1,2,0,3023.0,4161,ABIEL,1,CANINA,90,NAO REFERIDO,566.0,"(566,TRICOLOR)",TRICOLOR,N,2002-05-15,F,,,,0.0,P,N,N,N,N,4161.0,,N,,N,,,,,,,,N,,2011-03-21,1899-12-30
1,2,12210,8980.0,16735,ABIGAIL SIQUEIRA,2,FELINA,3,SRD FELINO,567.0,"(567,TRIGRADA)",TRIGRADA,N,2012-10-05,F,,,,3.9,P,,S,,S,,,N,,N,C,,,,,,,,,2016-04-11,
1,2,11913,5001.0,22501,ABOBRINHA,2,FELINA,3,SRD FELINO,553.0,"(553,TIGRADA)",TIGRADA,N,2021-09-03,F,,,,4.2,M,,N,,S,,,N,,N,C,,,,,,,,,2022-09-03,2022-09-03
1,2,11479,12099.0,20065,ABU,1,CANINA,42,LHASA APSO,0.0,,,N,2018-10-14,M,,,,6.6,P,,N,,S,,,N,,N, ,,,,,,,,,2019-10-14,
1,2,4,714.0,2413,ABU JUNIOR,1,CANINA,90,NAO REFERIDO,476.0,"(476,PRETA/MARROM)",PRETA/MARROM,N,2002-01-01,M,,,,0.0,P,N,N,N,N,2413.0,,N,,N,,,,,,,,N,,2011-03-21,1899-12-30
1,2,12210,13383.0,21936,AÇAI,1,CANINA,59,SHIH-TZU,0.0,,,N,2019-11-03,M,,,,7.0,,,N,,,,,N,,N, ,,,,,,,,,2021-11-03,2021-11-03
1,2,11479,12181.0,20186,ACCSA,2,FELINA,3,SRD FELINO,252.0,"(252,""CASCO TARTARUGA"")",CASCO TARTARUGA,N,2005-11-25,F,,,,1.7,P,,S,,,,,N,,N, ,,,,,,,,,2019-11-25,
1,2,4,1997.0,2758,ACE,1,CANINA,24,PASTOR ALEMAO,418.0,"(418,PRETA)",PRETA,N,1996-11-02,F,,,,0.0,P,N,N,N,N,2755.0,,N,,N,,,,,,,,N,,2011-03-21,2010-06-30
